seed,model,mae,rmse,r2,train_time,total_time
1,linear_regression,0.02582476250403933,0.040470260764204756,0.99853551767628,0.34219329999999104,0.3492085999999972
2,linear_regression,0.025751618783288674,0.04033041504957996,0.9985457181815998,0.3451221999999916,0.3521839
3,linear_regression,0.025832019669431404,0.04056620797031894,0.9985222058543552,0.4918335000000411,0.49985410000005004
4,linear_regression,0.025846852081673307,0.04046215362894785,0.9985424278093115,0.40245620000001736,0.4115593000000217
5,linear_regression,0.025907208553070923,0.04089081949836302,0.9985041411792583,0.43262319999996635,0.43894149999999854
6,linear_regression,0.025796317769412876,0.040454035208974,0.9985292421409174,0.351902100000018,0.35845409999996036
7,linear_regression,0.025802160089667278,0.04036363486349547,0.9985426434173335,0.3333982999999989,0.33949300000006133
8,linear_regression,0.02577207402532044,0.04026876968735679,0.9985485754013069,0.36847130000001016,0.37504520000004504
9,linear_regression,0.02585010697956886,0.04065920056864203,0.9985233797805211,0.3375522999999703,0.3443898000000445
10,linear_regression,0.02587048155306845,0.0407248396493542,0.9985141730074816,0.34915169999999307,0.35573710000005576
11,linear_regression,0.025782828470415218,0.04047999087157844,0.9985314196682055,0.3724485000000186,0.37923639999996794
12,linear_regression,0.025764398326943248,0.04050218408335179,0.998525267689677,0.3473817000000281,0.35588749999999436
13,linear_regression,0.025851718083425266,0.04053556578699584,0.9985274926666126,0.37113030000000435,0.37775870000018585
14,linear_regression,0.02573137327395475,0.04022258307670461,0.998546317544121,0.35463549999985844,0.36206289999995533
15,linear_regression,0.025835318253702305,0.04067146884676032,0.9985265763006795,0.34276169999998274,0.3494006000000809
16,linear_regression,0.025767394841528988,0.04030282136521764,0.9985527944540162,0.37746820000006664,0.3840253999999277
17,linear_regression,0.02574605732782932,0.04030416187158451,0.9985437721680693,0.3356493999999657,0.34196010000005117
18,linear_regression,0.025802997283896133,0.04039425652864988,0.9985412195808104,0.33521760000007816,0.3414978999999221
19,linear_regression,0.025773028551283536,0.0402994958742648,0.9985481812868179,0.33664299999986724,0.3430900000000747
20,linear_regression,0.02581028571088565,0.040431888737984575,0.9985360763533199,0.3357533999999305,0.3419848000000911
21,linear_regression,0.025885616545082497,0.04086284390525591,0.9985096872867484,0.33776160000002164,0.34417450000000827
22,linear_regression,0.025838349255678662,0.040661120351344254,0.9985216290893418,0.43272090000004937,0.43972759999996924
23,linear_regression,0.025787348835463596,0.04033262283309109,0.9985390971369007,0.4387709000000086,0.4453662999999324
24,linear_regression,0.025820393997198595,0.04045350254246041,0.9985399293221932,0.45587350000005245,0.4627073999999993
25,linear_regression,0.025736634087115653,0.040394842972474934,0.9985407429992357,0.33821289999991677,0.3445847999998932
26,linear_regression,0.025786614356262578,0.040417456352709207,0.9985426047756001,0.33501079999996364,0.3414312999998401
27,linear_regression,0.02587053295323452,0.04069056485192216,0.9985202220991842,0.3364842000000863,0.3432222000001275
28,linear_regression,0.02580988629254863,0.04037426223173623,0.9985486462202721,0.3405397000001358,0.34724580000010974
29,linear_regression,0.025792982380699766,0.040383607034728077,0.9985411856343874,0.3697197999999844,0.37624529999993683
30,linear_regression,0.02584345889135677,0.040828497082260204,0.9985054975384471,0.3377804000001561,0.3446198000001459
