seed,model,mae,rmse,r2,train_time,total_time
1,random_forest,0.011701946015025631,0.02537670333111571,0.9994241855837627,77.5052443,77.51192189999999
2,random_forest,0.011684397894959125,0.02527310280465856,0.9994289155702258,78.1898913,78.1962662
3,random_forest,0.011707475003586591,0.025591097865432077,0.9994118840587296,78.84897010000003,78.85604670000004
4,random_forest,0.011700461362085128,0.025356573425272144,0.9994275820903259,81.0908612,81.09700069999997
5,random_forest,0.011743588750846884,0.02572296785234744,0.9994080553116971,77.18397169999997,77.19151240000002
6,random_forest,0.01168820142666643,0.025402827374830045,0.9994200619613244,78.0254655,78.0313051
7,random_forest,0.011724894570766926,0.025546506195311236,0.9994162212047277,77.95492390000004,77.96100469999999
8,random_forest,0.011709496614073183,0.02551902493781386,0.9994171109326213,77.5480622,77.55406359999995
9,random_forest,0.011742139403526058,0.025629981029504142,0.999413257280224,77.61996669999996,77.62598550000007
10,random_forest,0.011740343415141527,0.025580531191471648,0.999413769250213,77.0771234,77.08329719999995
11,random_forest,0.011663421167158043,0.025384116959945736,0.999422514590419,78.1401366,78.14642949999995
12,random_forest,0.011667534294683063,0.02530364936143648,0.9994243975541486,78.00368829999991,78.00996309999994
13,random_forest,0.011719941667525031,0.025467557576423654,0.9994187545298365,77.03673329999992,77.04266660000008
14,random_forest,0.011647800837578522,0.025168026653563255,0.9994308483951464,77.3387757999999,77.3449908
15,random_forest,0.011748070561260518,0.025733077632394994,0.9994101638352806,78.09314689999997,78.09917739999992
16,random_forest,0.01168547691465973,0.025308858241821865,0.9994293045297451,77.40012200000001,77.4063721
17,random_forest,0.011686943050536377,0.02531366641632082,0.999425566652861,77.19276189999982,77.19896470000003
18,random_forest,0.011686210202590499,0.02547467356939247,0.9994198130684621,77.17605359999993,77.18215609999993
19,random_forest,0.011693610125326886,0.025261702059125722,0.9994295226834831,78.00857290000022,78.01462419999984
20,random_forest,0.01167971792875285,0.025295957574216,0.9994269762592582,77.00379359999988,77.00989929999992
21,random_forest,0.011730123247788495,0.025761121193529423,0.9994076890650219,77.38883929999997,77.3948820999999
22,random_forest,0.011701527793025754,0.025508743901376255,0.9994181609381253,77.6943538999999,77.70079669999996
23,random_forest,0.01164997368945877,0.025124467572193714,0.9994331056295773,77.79805729999998,77.80446930000016
24,random_forest,0.01170747300354581,0.02533005456233715,0.9994275548627203,76.93461789999992,76.9411482999999
25,random_forest,0.01165789401423539,0.02537036912554626,0.9994243831359938,77.20323300000018,77.20966930000009
26,random_forest,0.01169901873887478,0.025549091806976024,0.9994176416325438,77.61241010000003,77.61833990000014
27,random_forest,0.011760892779094827,0.025784100452677736,0.9994058267866349,77.60456009999962,77.61103649999995
28,random_forest,0.011645065472567629,0.025263148628396355,0.9994317505243627,77.42127119999986,77.42755559999978
29,random_forest,0.011689239253725793,0.025300187087657314,0.9994274185391033,77.36429369999996,77.37232330000006
30,random_forest,0.011760885666909422,0.025784747702469826,0.9994039322569863,77.19775140000002,77.20420620000004
